"apgroup_num","apgroup_name","apmean_bno2","apmean_bpm25"
1,"E06000001",9.577,7.067
2,"E06000002",12.895,7.712
3,"E06000003",8.988,7.371
4,"E06000004",10.848,7.168
5,"E06000005",6.007,6.774
6,"E06000006",17.019,8.172
7,"E06000007",14.177,8.166
8,"E06000008",9.528,6.876
9,"E06000009",8.746,6.927
10,"E06000010",14.466,9.907
11,"E06000011",5.646,8.407
12,"E06000012",8.606,8.638
13,"E06000013",7.628,8.952
14,"E06000014",7.651,8.106
15,"E06000015",14.325,9.918
16,"E06000016",16.571,10.344
17,"E06000017",6.471,8.442
18,"E06000018",17.249,10.094
19,"E06000019",3.637,6.62
20,"E06000020",5.986,7.414
21,"E06000021",13.7,8.81
22,"E06000022",5.226,7.31
23,"E06000023",12.323,8.886
24,"E06000024",6.331,7.202
25,"E06000025",7.273,7.777
26,"E06000026",8.857,7.46
27,"E06000027",4.986,6.515
28,"E06000028",8.351,7.902
29,"E06000029",8.222,7.942
30,"E06000030",7.855,8.596
31,"E06000031",7.312,8.953
32,"E06000032",14.475,10.186
33,"E06000033",11.711,9.725
34,"E06000034",15.912,10.102
35,"E06000035",11.58,9.529
36,"E06000036",9.146,8.345
37,"E06000037",7.017,7.97
38,"E06000038",14.601,9.786
39,"E06000039",21.896,11.173
40,"E06000040",11.616,8.845
41,"E06000041",9.977,8.706
42,"E06000042",8.698,9.021
43,"E06000043",10.323,9.34
44,"E06000044",15.613,10.622
45,"E06000045",16.722,9.823
46,"E06000046",4.893,7.221
47,"E06000047",3.911,5.292
48,"E06000049",8.102,7.432
49,"E06000050",8.3,7.145
50,"E06000051",4.339,6.615
51,"E06000052",2.648,5.571
52,"E06000053",2.029,2.435
53,"E06000054",4.838,7.371
54,"E06000055",6.924,8.694
55,"E06000056",7.666,8.815
56,"E06000048",2.262,4.405
57,"E07000004",6.369,8.345
58,"E07000005",8.291,8.525
59,"E07000006",14.924,9.515
60,"E07000007",8.453,8.372
61,"E07000008",11.502,9.658
62,"E07000009",5.564,8.796
63,"E07000010",5.82,8.819
64,"E07000011",6.532,8.817
65,"E07000012",6.565,8.972
66,"E07000026",2.402,3.907
67,"E07000027",5.661,5.629
68,"E07000028",2.768,4.302
69,"E07000029",2.528,4.001
70,"E07000030",2.923,4.236
71,"E07000031",3.595,4.634
72,"E07000032",8.372,8.389
73,"E07000033",10.163,8.798
74,"E07000034",12.448,8.964
75,"E07000035",7.084,7.454
76,"E07000036",11.58,9.219
77,"E07000037",7.484,6.811
78,"E07000038",8.807,8.081
79,"E07000039",7.727,8.357
80,"E07000040",3.348,6.491
81,"E07000041",7.401,7.449
82,"E07000042",2.829,6.267
83,"E07000043",1.994,5.602
84,"E07000044",3.103,5.89
85,"E07000045",3.639,6.014
86,"E07000046",1.815,5.618
87,"E07000047",2.437,5.51
88,"E07000048",6.424,7.145
89,"E07000049",4.434,7.123
90,"E07000050",3.479,7.349
91,"E07000051",3.423,6.475
92,"E07000052",3.098,6.858
93,"E07000053",5.8,6.672
94,"E07000061",7.179,8.584
95,"E07000062",7.87,9.008
96,"E07000063",5.942,8.052
97,"E07000064",5.571,7.996
98,"E07000065",5.906,7.881
99,"E07000066",12.793,10.045
100,"E07000067",6.673,9.195
101,"E07000068",11.423,10.005
102,"E07000069",12.382,9.342
103,"E07000070",8.921,9.592
104,"E07000071",7.538,9.258
105,"E07000072",10.777,9.828
106,"E07000073",13.793,10.322
107,"E07000074",6.631,8.886
108,"E07000075",7.903,8.951
109,"E07000076",6.462,8.736
110,"E07000077",7.188,9.21
111,"E07000078",8.566,8.176
112,"E07000079",4.819,7.41
113,"E07000080",4.269,6.909
114,"E07000081",11.365,8.867
115,"E07000082",5.566,7.428
116,"E07000083",6.06,7.548
117,"E07000084",6.594,7.935
118,"E07000085",6.059,7.694
119,"E07000086",12.517,8.789
120,"E07000087",11.984,8.908
121,"E07000088",10.933,8.817
122,"E07000089",7.757,7.964
123,"E07000090",10.045,8.879
124,"E07000091",5.669,6.873
125,"E07000092",12.367,9.102
126,"E07000093",5.615,7.509
127,"E07000094",6.669,7.963
128,"E07000095",13.022,9.92
129,"E07000096",9.175,8.764
130,"E07000098",14.184,9.906
131,"E07000099",7.816,8.949
132,"E07000102",12.722,9.373
133,"E07000103",18.702,10.827
134,"E07000105",6.428,8.869
135,"E07000106",6.818,8.749
136,"E07000107",19.828,10.88
137,"E07000108",6.656,9.769
138,"E07000109",13.7,9.577
139,"E07000110",8.306,8.821
140,"E07000111",9.419,8.774
141,"E07000112",6.007,8.865
142,"E07000113",8.431,8.992
143,"E07000114",8.009,10.233
144,"E07000115",10.577,9.091
145,"E07000116",6.63,8.31
146,"E07000117",8.391,6.708
147,"E07000118",9.048,7.033
148,"E07000119",6.395,6.327
149,"E07000120",10.069,7.223
150,"E07000121",4.593,5.443
151,"E07000122",6.9,6.498
152,"E07000123",8.842,6.892
153,"E07000124",5.276,5.854
154,"E07000125",8.003,6.833
155,"E07000126",10.431,7.374
156,"E07000127",6.538,6.783
157,"E07000128",5.384,6.029
158,"E07000129",11.094,9.238
159,"E07000130",8.905,8.813
160,"E07000131",7.148,8.551
161,"E07000132",8.035,8.613
162,"E07000133",6.477,8.617
163,"E07000134",8.865,8.664
164,"E07000135",10.661,9.159
165,"E07000136",5.111,8.529
166,"E07000137",4.225,8.3
167,"E07000138",10.015,9.195
168,"E07000139",5.46,8.817
169,"E07000140",5.158,8.554
170,"E07000141",6.032,8.682
171,"E07000142",5.711,8.62
172,"E07000143",4.248,8.297
173,"E07000144",3.964,8.236
174,"E07000145",5.059,8.001
175,"E07000146",4.374,8.283
176,"E07000147",2.966,7.864
177,"E07000148",10.593,9.417
178,"E07000149",4.423,8.659
179,"E07000150",8.432,8.562
180,"E07000151",7.205,8.457
181,"E07000152",6.289,8.49
182,"E07000153",7.847,8.675
183,"E07000154",13.014,9.812
184,"E07000155",6.903,8.399
185,"E07000156",7.67,8.772
186,"E07000163",4.497,5.489
187,"E07000164",5.104,7.043
188,"E07000165",5.685,6.812
189,"E07000166",3.816,5.296
190,"E07000167",4.36,7.198
191,"E07000168",4.009,6.487
192,"E07000169",7.858,8.434
193,"E07000170",10.655,9.144
194,"E07000171",7.735,8.62
195,"E07000172",13.298,9.467
196,"E07000173",8.315,8.705
197,"E07000174",9.397,8.724
198,"E07000175",7.138,8.768
199,"E07000176",7.681,8.871
200,"E07000177",7.162,8.288
201,"E07000178",12.086,9.979
202,"E07000179",7.007,8.15
203,"E07000180",6.194,8.003
204,"E07000181",5.209,7.761
205,"E07000187",3.902,7.071
206,"E07000188",4.14,6.825
207,"E07000189",3.618,7.136
208,"E07000190",3.887,6.842
209,"E07000191",2.151,5.621
210,"E07000192",8.368,7.684
211,"E07000193",7.317,7.816
212,"E07000194",7.965,8.049
213,"E07000195",8.431,7.67
214,"E07000196",7.631,7.702
215,"E07000197",7.076,7.545
216,"E07000198",7.15,7.316
217,"E07000199",12.185,9.233
218,"E07000200",5.895,8.892
219,"E07000201",5.332,8.488
220,"E07000202",11.247,9.782
221,"E07000203",4.908,8.998
222,"E07000204",5.728,8.797
223,"E07000205",4.877,8.559
224,"E07000206",4.471,8.482
225,"E07000207",13.34,9.43
226,"E07000208",15.269,10.239
227,"E07000209",8.476,8.065
228,"E07000210",8.199,8.095
229,"E07000211",12.146,9.291
230,"E07000212",15.321,9.549
231,"E07000213",16.527,10.184
232,"E07000214",11.155,8.607
233,"E07000215",9.629,8.779
234,"E07000216",6.181,7.481
235,"E07000217",10.431,8.813
236,"E07000218",10.321,8.749
237,"E07000219",10.897,8.964
238,"E07000220",8.347,8.618
239,"E07000221",6.158,7.852
240,"E07000222",8.976,8.338
241,"E07000223",9.855,8.846
242,"E07000224",6.146,8.119
243,"E07000225",5.483,7.506
244,"E07000226",14.73,9.663
245,"E07000227",6.175,7.809
246,"E07000228",7.139,8.042
247,"E07000229",9.708,9.134
248,"E07000234",9.206,8.003
249,"E07000235",4.761,7.039
250,"E07000236",8.683,8.052
251,"E07000237",11.223,8.583
252,"E07000238",6.036,7.519
253,"E07000239",6.007,7.234
254,"E07000100",11.647,9.312
255,"E07000104",11.645,9.376
256,"E07000097",8.033,8.992
257,"E07000101",13.449,9.92
258,"E08000001",12.995,8.179
259,"E08000002",14.473,8.334
260,"E08000003",19.599,9.45
261,"E08000004",11.976,7.737
262,"E08000005",13.086,7.859
263,"E08000006",19.879,9.022
264,"E08000007",14.336,8.449
265,"E08000008",13.855,8.26
266,"E08000009",14.955,8.482
267,"E08000010",11.728,7.953
268,"E08000011",13.562,7.879
269,"E08000012",15.492,8.487
270,"E08000013",13.142,7.951
271,"E08000014",9.032,6.908
272,"E08000015",10.714,7.088
273,"E08000016",9.373,7.747
274,"E08000017",9.699,8.642
275,"E08000018",11.113,8.717
276,"E08000019",10.188,7.829
277,"E08000021",10.372,6.668
278,"E08000022",9.854,6.444
279,"E08000023",9.263,6.501
280,"E08000024",9.099,6.798
281,"E08000025",16.688,10.066
282,"E08000026",14.052,9.707
283,"E08000027",13.323,9.065
284,"E08000028",18.668,10.116
285,"E08000029",12.251,8.966
286,"E08000030",13.227,9.031
287,"E08000031",13.298,8.86
288,"E08000032",9.215,7.301
289,"E08000033",8.805,6.989
290,"E08000034",10.284,7.7
291,"E08000035",11.793,8.321
292,"E08000036",11.61,8.589
293,"E08000020",8.839,6.192
294,"E09000001",42.743,14.053
295,"E09000002",21.02,12.252
296,"E09000003",19.701,11.402
297,"E09000004",18.347,10.977
298,"E09000005",23.43,12.286
299,"E09000006",13.397,9.685
300,"E09000007",28.958,13.099
301,"E09000008",14.941,10.29
302,"E09000009",25.587,12.39
303,"E09000010",17.175,11.137
304,"E09000011",21.242,11.772
305,"E09000012",26.638,13.255
306,"E09000013",31.598,13.862
307,"E09000014",21.988,12.692
308,"E09000015",16.492,10.502
309,"E09000016",15.303,10.592
310,"E09000017",18.586,10.567
311,"E09000018",21.185,11.522
312,"E09000019",27.843,13.578
313,"E09000020",31.491,13.702
314,"E09000021",18.479,10.686
315,"E09000022",23.758,12.753
316,"E09000023",21.175,12.135
317,"E09000024",18.784,11.666
318,"E09000025",27.825,13.437
319,"E09000026",20.309,12.021
320,"E09000027",17.433,10.547
321,"E09000028",25.146,12.752
322,"E09000029",16.738,10.709
323,"E09000030",33.395,13.811
324,"E09000031",23.327,12.717
325,"E09000032",22.103,12.222
326,"E09000033",37.745,14.346
327,"W06000001",2.019,4.124
328,"W06000002",1.884,4.058
329,"W06000003",2.479,4.486
330,"W06000004",3.453,5.156
331,"W06000005",5.983,6.144
332,"W06000006",4.577,6.175
333,"W06000008",1.893,4.503
334,"W06000009",1.89,4.915
335,"W06000010",2.147,4.895
336,"W06000011",3.733,5.424
337,"W06000012",4.083,5.679
338,"W06000013",5.597,5.959
339,"W06000014",4.418,6.171
340,"W06000015",10.033,7.844
341,"W06000016",4.497,5.979
342,"W06000018",4.911,6.563
343,"W06000019",3.948,6.252
344,"W06000020",4.952,6.731
345,"W06000021",4.06,6.589
346,"W06000022",8.627,7.54
347,"W06000023",2.542,5.133
348,"W06000024",4.062,5.891
